"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 15:38:28 GMT 2023","Wed Dec 20 15:38:31 GMT 2023","3097","firefox","testBox.spec.ts","","","","Fill form with only Name and Email",""
"passed","Wed Dec 20 15:43:27 GMT 2023","Wed Dec 20 15:43:33 GMT 2023","6021","webkit","example.spec.ts","","","","has title",""
"passed","Wed Dec 20 15:43:20 GMT 2023","Wed Dec 20 15:43:26 GMT 2023","6024","firefox","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"passed","Wed Dec 20 15:38:22 GMT 2023","Wed Dec 20 15:38:25 GMT 2023","2486","chromium","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"passed","Wed Dec 20 15:44:56 GMT 2023","Wed Dec 20 15:45:07 GMT 2023","11265","webkit","testBox.spec.ts","","","","Fill form with only Name and Email",""
"passed","Wed Dec 20 15:47:06 GMT 2023","Wed Dec 20 15:47:16 GMT 2023","10776","webkit","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Wed Dec 20 15:38:27 GMT 2023","Wed Dec 20 15:38:28 GMT 2023","738","firefox","example.spec.ts","","","","get started link",""
"passed","Wed Dec 20 15:46:01 GMT 2023","Wed Dec 20 15:46:08 GMT 2023","6611","webkit","testBox.spec.ts","","","","Submit empty form",""
"passed","Wed Dec 20 15:47:01 GMT 2023","Wed Dec 20 15:47:06 GMT 2023","4495","webkit","testBox.spec.ts","","","","Test form with special characters",""
"passed","Wed Dec 20 15:38:19 GMT 2023","Wed Dec 20 15:38:22 GMT 2023","2870","chromium","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Wed Dec 20 15:40:14 GMT 2023","Wed Dec 20 15:40:23 GMT 2023","9000","firefox","testBox.spec.ts","","","","Submit empty form",""
"broken","Wed Dec 20 15:34:05 GMT 2023","Wed Dec 20 15:34:35 GMT 2023","30239","chromium","testBox.spec.ts","","","","Fill form with all fields",""
"passed","Wed Dec 20 15:45:54 GMT 2023","Wed Dec 20 15:46:01 GMT 2023","7386","webkit","testBox.spec.ts","","","","Fill form with only Current Address",""
"passed","Wed Dec 20 15:45:47 GMT 2023","Wed Dec 20 15:45:54 GMT 2023","6709","webkit","testBox.spec.ts","","","","Fill form with all fields",""
"passed","Wed Dec 20 15:43:33 GMT 2023","Wed Dec 20 15:43:34 GMT 2023","993","webkit","example.spec.ts","","","","get started link",""
"passed","Wed Dec 20 15:39:39 GMT 2023","Wed Dec 20 15:39:43 GMT 2023","4482","firefox","testBox.spec.ts","","","","Fill form with only Current Address",""
"passed","Wed Dec 20 15:35:06 GMT 2023","Wed Dec 20 15:35:09 GMT 2023","3143","chromium","testBox.spec.ts","","","","Fill form with only Current Address",""
"broken","Wed Dec 20 15:36:44 GMT 2023","Wed Dec 20 15:37:15 GMT 2023","30239","chromium","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Wed Dec 20 15:47:16 GMT 2023","Wed Dec 20 15:47:25 GMT 2023","8872","webkit","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"passed","Wed Dec 20 15:31:30 GMT 2023","Wed Dec 20 15:31:30 GMT 2023","810","chromium","example.spec.ts","","","","has title",""
"passed","Wed Dec 20 15:40:54 GMT 2023","Wed Dec 20 15:41:01 GMT 2023","6335","firefox","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Wed Dec 20 15:42:04 GMT 2023","Wed Dec 20 15:42:08 GMT 2023","4060","firefox","testBox.spec.ts","","","","Test form with special characters",""
"broken","Wed Dec 20 15:32:32 GMT 2023","Wed Dec 20 15:33:03 GMT 2023","30239","chromium","testBox.spec.ts","","","","Fill form with only Name and Email",""
"passed","Wed Dec 20 15:31:30 GMT 2023","Wed Dec 20 15:31:31 GMT 2023","529","chromium","example.spec.ts","","","","get started link",""
"passed","Wed Dec 20 15:38:25 GMT 2023","Wed Dec 20 15:38:27 GMT 2023","1786","firefox","example.spec.ts","","","","has title",""
"passed","Wed Dec 20 15:42:39 GMT 2023","Wed Dec 20 15:42:49 GMT 2023","10368","firefox","testBox.spec.ts","","","","Test form with SQL injection string",""
"passed","Wed Dec 20 15:46:49 GMT 2023","Wed Dec 20 15:47:01 GMT 2023","12704","webkit","testBox.spec.ts","","","","Test form with very long input values",""
"passed","Wed Dec 20 15:39:02 GMT 2023","Wed Dec 20 15:39:08 GMT 2023","6336","firefox","testBox.spec.ts","","","","Fill form with all fields",""
"passed","Wed Dec 20 15:37:15 GMT 2023","Wed Dec 20 15:37:18 GMT 2023","3137","chromium","testBox.spec.ts","","","","Test form with special characters",""
"passed","Wed Dec 20 15:35:39 GMT 2023","Wed Dec 20 15:35:43 GMT 2023","3696","chromium","testBox.spec.ts","","","","Submit empty form",""
