"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 20 17:04:44 GMT 2023","Wed Dec 20 17:04:47 GMT 2023","2926","chromium","Edge Cases","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"passed","Wed Dec 20 17:14:35 GMT 2023","Wed Dec 20 17:14:38 GMT 2023","3637","webkit","Security","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"passed","Wed Dec 20 17:05:57 GMT 2023","Wed Dec 20 17:06:00 GMT 2023","2612","chromium","Edge Cases","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"passed","Wed Dec 20 17:07:14 GMT 2023","Wed Dec 20 17:07:19 GMT 2023","4112","firefox","Basic Functionality","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"failed","Wed Dec 20 17:10:48 GMT 2023","Wed Dec 20 17:11:12 GMT 2023","24595","firefox","Security","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"failed","Wed Dec 20 17:05:34 GMT 2023","Wed Dec 20 17:05:57 GMT 2023","22898","chromium","Edge Cases","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:14:28 GMT 2023","Wed Dec 20 17:14:35 GMT 2023","6430","webkit","Edge Cases","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"failed","Wed Dec 20 17:13:47 GMT 2023","Wed Dec 20 17:14:28 GMT 2023","40584","webkit","Edge Cases","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:12:44 GMT 2023","Wed Dec 20 17:12:50 GMT 2023","5927","webkit","Basic Functionality","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"passed","Wed Dec 20 17:09:29 GMT 2023","Wed Dec 20 17:09:53 GMT 2023","23539","firefox","Security","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"failed","Wed Dec 20 17:09:01 GMT 2023","Wed Dec 20 17:09:25 GMT 2023","24012","firefox","Edge Cases","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"passed","Wed Dec 20 17:12:50 GMT 2023","Wed Dec 20 17:12:56 GMT 2023","6016","webkit","Edge Cases","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"passed","Wed Dec 20 17:07:41 GMT 2023","Wed Dec 20 17:07:46 GMT 2023","4932","firefox","Basic Functionality","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"passed","Wed Dec 20 17:06:00 GMT 2023","Wed Dec 20 17:06:02 GMT 2023","2445","chromium","Security","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"passed","Wed Dec 20 17:04:36 GMT 2023","Wed Dec 20 17:04:39 GMT 2023","3446","chromium","Basic Functionality","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"passed","Wed Dec 20 17:12:00 GMT 2023","Wed Dec 20 17:12:04 GMT 2023","3955","webkit","Basic Functionality","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"passed","Wed Dec 20 17:09:25 GMT 2023","Wed Dec 20 17:09:29 GMT 2023","3954","firefox","Edge Cases","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"passed","Wed Dec 20 17:04:42 GMT 2023","Wed Dec 20 17:04:44 GMT 2023","2033","chromium","Basic Functionality","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"passed","Wed Dec 20 17:07:19 GMT 2023","Wed Dec 20 17:07:41 GMT 2023","22363","firefox","Basic Functionality","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"failed","Wed Dec 20 17:15:29 GMT 2023","Wed Dec 20 17:15:53 GMT 2023","24081","webkit","Security","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"failed","Wed Dec 20 17:06:51 GMT 2023","Wed Dec 20 17:07:14 GMT 2023","23240","chromium","Security","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"passed","Wed Dec 20 17:04:39 GMT 2023","Wed Dec 20 17:04:42 GMT 2023","2311","chromium","Basic Functionality","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"passed","Wed Dec 20 17:11:55 GMT 2023","Wed Dec 20 17:12:00 GMT 2023","5173","webkit","Basic Functionality","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"passed","Wed Dec 20 17:07:46 GMT 2023","Wed Dec 20 17:08:08 GMT 2023","22496","firefox","Edge Cases","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
