"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Dec 19 14:29:46 GMT 2023","Tue Dec 19 14:29:46 GMT 2023","46","webkit","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 14:29:32 GMT 2023","Tue Dec 19 14:29:32 GMT 2023","45","firefox","testBox.spec.ts","","","","Submit empty form",""
"failed","Tue Dec 19 14:29:23 GMT 2023","Tue Dec 19 14:29:23 GMT 2023","47","chromium","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 14:29:26 GMT 2023","Tue Dec 19 14:29:26 GMT 2023","50","chromium","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 14:29:20 GMT 2023","Tue Dec 19 14:29:20 GMT 2023","48","chromium","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 14:29:39 GMT 2023","Tue Dec 19 14:29:39 GMT 2023","45","webkit","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 14:29:30 GMT 2023","Tue Dec 19 14:29:30 GMT 2023","46","firefox","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 14:29:18 GMT 2023","Tue Dec 19 14:29:18 GMT 2023","46","chromium","testBox.spec.ts","","","","Fill form with only Name and Email",""
"failed","Tue Dec 19 14:29:27 GMT 2023","Tue Dec 19 14:29:27 GMT 2023","50","firefox","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 14:29:16 GMT 2023","Tue Dec 19 14:29:16 GMT 2023","49","chromium","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 14:29:19 GMT 2023","Tue Dec 19 14:29:19 GMT 2023","48","chromium","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 14:29:38 GMT 2023","Tue Dec 19 14:29:38 GMT 2023","47","webkit","example.spec.ts","","","","has title",""
"failed","Tue Dec 19 14:29:31 GMT 2023","Tue Dec 19 14:29:31 GMT 2023","44","firefox","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 14:29:45 GMT 2023","Tue Dec 19 14:29:45 GMT 2023","47","webkit","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 14:29:28 GMT 2023","Tue Dec 19 14:29:28 GMT 2023","46","firefox","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 14:29:47 GMT 2023","Tue Dec 19 14:29:47 GMT 2023","48","webkit","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 14:29:22 GMT 2023","Tue Dec 19 14:29:22 GMT 2023","47","chromium","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 14:29:42 GMT 2023","Tue Dec 19 14:29:42 GMT 2023","47","webkit","testBox.spec.ts","","","","Fill form with only Current Address",""
"failed","Tue Dec 19 14:29:35 GMT 2023","Tue Dec 19 14:29:35 GMT 2023","47","firefox","testBox.spec.ts","","","","Test form with special characters",""
"failed","Tue Dec 19 14:29:33 GMT 2023","Tue Dec 19 14:29:33 GMT 2023","46","firefox","testBox.spec.ts","","","","Test form with very long input values",""
"failed","Tue Dec 19 14:29:25 GMT 2023","Tue Dec 19 14:29:25 GMT 2023","48","chromium","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 14:29:36 GMT 2023","Tue Dec 19 14:29:36 GMT 2023","45","firefox","testBox.spec.ts","","","","Test form with SQL injection string",""
"failed","Tue Dec 19 14:29:41 GMT 2023","Tue Dec 19 14:29:41 GMT 2023","45","webkit","testBox.spec.ts","","","","Fill form with all fields",""
"failed","Tue Dec 19 14:29:17 GMT 2023","Tue Dec 19 14:29:17 GMT 2023","45","chromium","example.spec.ts","","","","get started link",""
"failed","Tue Dec 19 14:29:43 GMT 2023","Tue Dec 19 14:29:44 GMT 2023","46","webkit","testBox.spec.ts","","","","Submit empty form",""
"failed","Tue Dec 19 14:29:48 GMT 2023","Tue Dec 19 14:29:48 GMT 2023","47","webkit","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 14:29:21 GMT 2023","Tue Dec 19 14:29:21 GMT 2023","47","chromium","testBox.spec.ts","","","","Submit empty form",""
"failed","Tue Dec 19 14:29:40 GMT 2023","Tue Dec 19 14:29:40 GMT 2023","46","webkit","testBox.spec.ts","","","","Fill form with only Name and Email",""
"failed","Tue Dec 19 14:29:37 GMT 2023","Tue Dec 19 14:29:37 GMT 2023","46","firefox","testBox.spec.ts","","","","Test form with HTML/JavaScript code",""
"failed","Tue Dec 19 14:29:29 GMT 2023","Tue Dec 19 14:29:29 GMT 2023","48","firefox","testBox.spec.ts","","","","Fill form with only Name and Email",""
