"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Feb 24 22:51:52 GMT 2024","Sat Feb 24 22:52:23 GMT 2024","30262","chromium","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"broken","Sat Feb 24 23:03:00 GMT 2024","Sat Feb 24 23:03:31 GMT 2024","31071","firefox","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"broken","Sat Feb 24 22:47:15 GMT 2024","Sat Feb 24 22:47:46 GMT 2024","30273","chromium","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"broken","Sat Feb 24 22:39:34 GMT 2024","Sat Feb 24 22:40:04 GMT 2024","30262","chromium","radioButton.spec.ts","Radio Page Tests","","","Check radio buttons",""
"broken","Sat Feb 24 22:59:49 GMT 2024","Sat Feb 24 23:00:20 GMT 2024","31047","firefox","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"broken","Sat Feb 24 23:12:40 GMT 2024","Sat Feb 24 23:13:10 GMT 2024","30691","webkit","checkBox.spec.ts","Checkbox Page Tests","","","Check checkboxes",""
"broken","Sat Feb 24 23:09:22 GMT 2024","Sat Feb 24 23:09:53 GMT 2024","31067","firefox","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"broken","Sat Feb 24 22:56:38 GMT 2024","Sat Feb 24 22:57:09 GMT 2024","31057","firefox","radioButton.spec.ts","Radio Page Tests","","","Check radio buttons",""
"broken","Sat Feb 24 22:53:27 GMT 2024","Sat Feb 24 22:53:58 GMT 2024","31105","firefox","checkBox.spec.ts","Checkbox Page Tests","","","Check toggle checkboxes",""
"broken","Sat Feb 24 23:27:43 GMT 2024","Sat Feb 24 23:28:13 GMT 2024","30707","webkit","Text Box Page","HTML/JavaScript Injection","","","Test form with HTML/JavaScript code","Evaluates form security against HTML/JavaScript code injection."
"broken","Sat Feb 24 23:20:58 GMT 2024","Sat Feb 24 23:21:29 GMT 2024","30717","webkit","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"broken","Sat Feb 24 23:04:36 GMT 2024","Sat Feb 24 23:05:07 GMT 2024","31123","firefox","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"broken","Sat Feb 24 23:01:25 GMT 2024","Sat Feb 24 23:01:56 GMT 2024","31084","firefox","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"broken","Sat Feb 24 23:11:06 GMT 2024","Sat Feb 24 23:11:37 GMT 2024","30715","webkit","checkBox.spec.ts","Checkbox Page Tests","","","Check toggle checkboxes",""
"broken","Sat Feb 24 22:38:02 GMT 2024","Sat Feb 24 22:38:32 GMT 2024","30278","chromium","checkBox.spec.ts","Checkbox Page Tests","","","Check checkboxes",""
"broken","Sat Feb 24 23:22:32 GMT 2024","Sat Feb 24 23:23:13 GMT 2024","40706","webkit","Text Box Page","Long Input Values","","","Test form with very long input values","Tests form behavior with extremely long input values. Identifies issues with data handling and UI."
"broken","Sat Feb 24 22:42:39 GMT 2024","Sat Feb 24 22:43:09 GMT 2024","30253","chromium","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
"broken","Sat Feb 24 23:06:11 GMT 2024","Sat Feb 24 23:06:42 GMT 2024","31062","firefox","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"broken","Sat Feb 24 23:24:16 GMT 2024","Sat Feb 24 23:24:47 GMT 2024","30699","webkit","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"broken","Sat Feb 24 22:44:11 GMT 2024","Sat Feb 24 22:44:41 GMT 2024","30267","chromium","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"broken","Sat Feb 24 22:36:29 GMT 2024","Sat Feb 24 22:37:00 GMT 2024","30252","chromium","checkBox.spec.ts","Checkbox Page Tests","","","Check toggle checkboxes",""
"broken","Sat Feb 24 22:41:06 GMT 2024","Sat Feb 24 22:41:36 GMT 2024","30271","chromium","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"broken","Sat Feb 24 22:48:48 GMT 2024","Sat Feb 24 22:49:18 GMT 2024","30261","chromium","Text Box Page","Special Characters","","","Test form with special characters","Verifies form functionality with special characters in input fields."
"broken","Sat Feb 24 22:50:20 GMT 2024","Sat Feb 24 22:50:50 GMT 2024","30244","chromium","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"broken","Sat Feb 24 23:19:14 GMT 2024","Sat Feb 24 23:19:45 GMT 2024","30712","webkit","Text Box Page","Single Field Form Submission","","","Fill form with only Current Address","Checks form behavior when only the Current Address is filled."
"broken","Sat Feb 24 23:26:09 GMT 2024","Sat Feb 24 23:26:40 GMT 2024","30696","webkit","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"broken","Sat Feb 24 23:07:47 GMT 2024","Sat Feb 24 23:08:18 GMT 2024","31061","firefox","Text Box Page","SQL Injection","","","Test form with SQL injection string","Checks form resilience against SQL injection attempts."
"broken","Sat Feb 24 22:55:03 GMT 2024","Sat Feb 24 22:55:34 GMT 2024","31034","firefox","checkBox.spec.ts","Checkbox Page Tests","","","Check checkboxes",""
"broken","Sat Feb 24 22:45:43 GMT 2024","Sat Feb 24 22:46:13 GMT 2024","30256","chromium","Text Box Page","Empty Form Submission","","","Submit empty form","Tests the behavior of submitting an empty form."
"broken","Sat Feb 24 23:15:57 GMT 2024","Sat Feb 24 23:16:38 GMT 2024","40708","webkit","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"broken","Sat Feb 24 22:58:14 GMT 2024","Sat Feb 24 22:58:45 GMT 2024","31134","firefox","Text Box Page","Partial Form Submission","","","Fill form with only Name and Email","Verifies form functionality with only Name and Email fields filled."
"broken","Sat Feb 24 23:14:23 GMT 2024","Sat Feb 24 23:14:54 GMT 2024","30697","webkit","radioButton.spec.ts","Radio Page Tests","","","Check radio buttons",""
"broken","Sat Feb 24 23:17:40 GMT 2024","Sat Feb 24 23:18:11 GMT 2024","30695","webkit","Text Box Page","Complete Form Submission","","","Fill form with all fields","Ensures form functionality works with all fields filled."
